Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.5		0.979	48	20	2010.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	TP63	8626	Q9H3D4	tumor protein p63	Transcription factor	816	0.362	0.769	0.99728	0.5		0.929	14	7	2010.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CLPTM1L	81037	Q96KA5	CLPTM1 like	Enzyme	110	0.551	0.654	4.3885e-05	0.46		1.0	9	3	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FGFR2	2263	P21802	fibroblast growth factor receptor 2	Kinase	731	0.38	0.808	0.99731	0.44		0.833	6	5	2008.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RAF1	5894	P04049	Raf-1 proto-oncogene, serine/threonine kinase	Kinase	470	0.418	0.885	0.85295	0.43		1.0	4	1	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NRAS	4893	P01111	NRAS proto-oncogene, GTPase	Enzyme modulator	611	0.39	0.808	0.49009	0.42		1.0	3	2	2010.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	BAP1	8314	Q92560	BRCA1 associated protein 1	Enzyme	299	0.454	0.731	0.99443	0.42		0.667	3	0	2015.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	APC	324	P25054	APC regulator of WNT signaling pathway		703	0.373	0.962	1.0	0.41		1.0	3	1	2008.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ARAF	369	P10398	A-Raf proto-oncogene, serine/threonine kinase	Kinase	56	0.619	0.654	0.96322	0.41		1.0	2	2	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SOS1	6654	Q07889	SOS Ras/Rac guanine nucleotide exchange factor 1	Enzyme modulator	261	0.485	0.808	1.0	0.41		1.0	3	1	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AHR	196	P35869	aryl hydrocarbon receptor	Transcription factor	532	0.41	0.923	0.99999	0.4		1.0	13	0	1999.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	EPHA5	2044	P54756	EPH receptor A5	Kinase	61	0.626	0.615	7.2877e-05	0.4		1.0	1	2	2005.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	ERCC1	2067	P07992	ERCC excision repair 1, endonuclease non-catalytic subunit	Enzyme	345	0.445	0.846	1.5933e-07	0.4		1.0	12	1	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	1250	0.311	0.962	0.9759	0.4		1.0	33	0	2008.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	EML4	27436	Q9HC35	EMAP like 4		100	0.569	0.577	0.00048242	0.4		0.98	49	0	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ATM	472	Q13315	ATM serine/threonine kinase	Kinase	684	0.374	0.885	5.5884e-47	0.4		0.9	10	5	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TP53	7157	P04637	tumor protein p53	Transcription factor	2494	0.236	0.962	0.53235	0.4		0.991	115	86	1992.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TTF1	7270	Q15361	transcription termination factor 1		134	0.537	0.5	6.2102e-13	0.4		1.0	49	0	2009.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	TYMS	7298	P04818	thymidylate synthetase	Enzyme	406	0.425	0.846	0.72247	0.4		0.882	17	0	2006.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	KEAP1	9817	Q14145	kelch like ECH associated protein 1		251	0.475	0.808	0.00038766	0.4		1.0	12	0	2015.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	MAPK14	1432	Q16539	mitogen-activated protein kinase 14	Kinase	626	0.379	0.923	0.37466	0.38		1.0	8	0	2011.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SFN	2810	P31947	stratifin	Chaperone	105	0.561	0.769	0.36544	0.38		1.0	9	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	OGG1	4968	O15527	8-oxoguanine DNA glycosylase		313	0.453	0.808	3.9314e-12	0.38		1.0	9	2	1999.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SOX2	6657	P48431	SRY-box transcription factor 2	Transcription factor	503	0.405	0.808	0.70662	0.37		1.0	8	0	2011.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	KDR	3791	P35968	kinase insert domain receptor	Kinase	623	0.378	0.885	0.99982	0.36		1.0	6	0	2001.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	XRCC5	7520	P13010	X-ray repair cross complementing 5	Enzyme	113	0.554	0.808	0.99999	0.36		1.0	7	0	2007.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ENO1	2023	P06733	enolase 1	Enzyme	231	0.481	0.885	1.914e-05	0.35		1.0	7	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FOXO3	2309	O43524	forkhead box O3		381	0.431	0.808	0.98806	0.35		1.0	5	0	2010.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	APEX1	328	P27695	apurinic/apyrimidinic endodeoxyribonuclease 1		305	0.458	0.846	1.9191e-07	0.35		1.0	6	1	2011.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FGFR4	2264	P22455	fibroblast growth factor receptor 4	Kinase	220	0.49	0.769	7.1917e-13	0.34		1.0	4	1	2005.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	SFTPC	6440	P11686	surfactant protein C		132	0.556	0.692	0.00075276	0.34		0.8	5	0	2006.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	WNK1	65125	Q9H4A3	WNK lysine deficient protein kinase 1	Kinase	460	0.416	0.846	1.0	0.34		1.0	4	0	2015.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CDKN2B	1030	P42772	cyclin dependent kinase inhibitor 2B		440	0.417	0.769	0.0073369	0.33		1.0	3	1	2004.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	CREBBP	1387	Q92793	CREB binding protein		438	0.428	0.808	1.0	0.33		1.0	4	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LATS2	26524	Q9NRM7	large tumor suppressor kinase 2	Kinase	106	0.554	0.654	0.98807	0.33		1.0	3	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ANXA1	301	P04083	annexin A1		336	0.442	0.885	1.2009e-07	0.33		1.0	4	0	1998.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HSPB1	3315	P04792	heat shock protein family B (small) member 1		395	0.436	0.808	2.7797e-07	0.33		1.0	4	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AQP4	361	P55087	aquaporin 4	Ion channel	311	0.456	0.885	0.0022919	0.33		1.0	4	0	2011.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	RPSA	3921	P08865	ribosomal protein SA	Nucleic acid binding	221	0.485	0.769	0.93037	0.33		1.0	4	0	2014.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MLH1	4292	P40692	mutL homolog 1	Nucleic acid binding	526	0.399	0.808	3.41e-05	0.33		1.0	3	2	2011.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	RPL36A	6173	P83881	ribosomal protein L36a	Nucleic acid binding	46	0.656	0.385	0.42737	0.33		1.0	4	0	2015.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SHMT1	6470	P34896	serine hydroxymethyltransferase 1	Enzyme	106	0.566	0.654	1.275e-14	0.33		1.0	4	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SOD2	6648	P04179	superoxide dismutase 2	Enzyme	668	0.379	0.923	0.15499	0.33		1.0	4	0	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TNK2	10188	Q07912	tyrosine kinase non receptor 2	Kinase	59	0.623	0.538	8.22e-12	0.32		1.0	2	0	2014.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CYP2A13	1553	Q16696	cytochrome P450 family 2 subfamily A member 13		32	0.695	0.462	8.6461e-07	0.32		1.0	3	0	2003.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	EPHA3	2042	P29320	EPH receptor A3	Kinase	193	0.497	0.692	1.1953e-05	0.32		1.0	2	0	2012.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	GAPDH	2597	P04406	glyceraldehyde-3-phosphate dehydrogenase	Enzyme	305	0.447	0.808	0.11388	0.32		1.0	3	0	2004.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ANXA5	308	P08758	annexin A5		283	0.458	0.769	3.7978e-15	0.32		1.0	3	0	2010.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LDHA	3939	P00338	lactate dehydrogenase A	Enzyme	185	0.507	0.808	0.069173	0.32		1.0	3	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	NCL	4691	P19338	nucleolin	Nucleic acid binding	167	0.509	0.808	0.99992	0.32		1.0	3	0	2012.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NTRK2	4915	Q16620	neurotrophic receptor tyrosine kinase 2	Kinase	284	0.479	0.808	1.0	0.32		1.0	2	0	2011.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ATR	545	Q13535	ATR serine/threonine kinase	Kinase	321	0.456	0.923	3.5177e-09	0.32		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RASA1	5921	P20936	RAS p21 protein activator 1	Enzyme modulator	237	0.481	0.885	1.0	0.32		1.0	3	0	2013.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TOP2A	7153	P11388	DNA topoisomerase II alpha		200	0.497	0.731	0.99086	0.32		1.0	3	0	2010.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	XPC	7508	Q01831	XPC complex subunit, DNA damage recognition and repair factor	Nucleic acid binding	211	0.504	0.808	3.6866e-11	0.32		1.0	3	0	2005.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TNFSF10	8743	P50591	TNF superfamily member 10	Signaling	445	0.413	0.885	0.13495	0.32		1.0	3	0	2007.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	APOBEC3B	9582	Q9UH17	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	Enzyme	118	0.547	0.731	5.2144e-16	0.32		1.0	2	0	2013.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	FASTK	10922	Q14296	Fas activated serine/threonine kinase	Kinase	65	0.617	0.615	0.0047199	0.31		1.0	1	1	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ERP29	10961	P30040	endoplasmic reticulum protein 29	Transporter	30	0.716	0.308	0.75108	0.31		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	EP300	2033	Q09472	E1A binding protein p300		345	0.459	0.846	1.0	0.31		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	EPHA8	2046	P29322	EPH receptor A8	Kinase	35	0.686	0.346	1.834e-10	0.31		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	ERN1	2081	O75460	endoplasmic reticulum to nucleus signaling 1	Kinase	163	0.513	0.808	0.99027	0.31		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	FASN	2194	P49327	fatty acid synthase	Enzyme	245	0.474	0.846	1.0	0.31		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	FLT1	2321	P17948	fms related receptor tyrosine kinase 1	Kinase	424	0.419	0.846	0.99983	0.31		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	PRKD2	25865	Q9BZL6	protein kinase D2	Kinase	40	0.666	0.538	0.99995	0.31		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ARHGAP35	2909	Q9NRY4	Rho GTPase activating protein 35		20	0.751	0.269	1.0	0.31		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PSAT1	29968	Q9Y617	phosphoserine aminotransferase 1		285	0.478	0.846	1.0621e-08	0.31		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HELLS	3070	Q9NRZ9	helicase, lymphoid specific		84	0.603	0.731	0.99979	0.31		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HNRNPA1	3178	P09651	heterogeneous nuclear ribonucleoprotein A1		188	0.529	0.885	0.99911	0.31		1.0	2	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	JUNB	3726	P17275	JunB proto-oncogene, AP-1 transcription factor subunit	Transcription factor	264	0.467	0.769	0.86299	0.31		1.0	2	0	2005.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	KCNJ4	3761	P48050	potassium inwardly rectifying channel subfamily J member 4	Ion channel	16	0.805	0.385	0.9649	0.31		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ARG1	383	P05089	arginase 1	Enzyme	273	0.476	0.846	0.00035944	0.31		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	KPNA2	3838	P52292	karyopherin subunit alpha 2	Transporter	79	0.588	0.654	0.54133	0.31		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	LMNA	4000	P02545	lamin A/C		824	0.384	0.885	0.9994	0.31		1.0	2	0	2010.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	NTRK3	4916	Q16288	neurotrophic receptor tyrosine kinase 3	Kinase	150	0.522	0.692	0.9983	0.31		1.0	1	1	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	DDR2	4921	Q16832	discoidin domain receptor tyrosine kinase 2	Kinase	147	0.541	0.769	0.5503	0.31		1.0	1	1	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	GOLM1	51280	Q8NBJ4	golgi membrane protein 1		100	0.56	0.692	9.6171e-09	0.31		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CMTR2	55783	Q8IYT2	cap methyltransferase 2		16	0.722	0.462	5.3475e-10	0.31		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PRKDC	5591	P78527	protein kinase, DNA-activated, catalytic subunit	Kinase	131	0.54	0.808	1.0	0.31		1.0	1	1	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	RFC4	5984	P35249	replication factor C subunit 4	Enzyme	17	0.743	0.192	4.4992e-07	0.31		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RRM2	6241	P31350	ribonucleotide reductase regulatory subunit M2	Enzyme	101	0.555	0.769	0.2964	0.31		1.0	2	0	2008.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MNX1-AS1	645249		MNX1 antisense RNA 1 (head to head)		53	0.615	0.346		0.31		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	KLF5	688	Q13887	Kruppel like factor 5	Nucleic acid binding	143	0.534	0.769	0.8181	0.31		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TK1	7083	P04183	thymidine kinase 1	Kinase	82	0.592	0.538	0.13731	0.31		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TPI1	7167	P60174	triosephosphate isomerase 1	Enzyme	184	0.517	0.846	0.030193	0.31		1.0	2	0	2002.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TTN	7273	Q8WZ42	titin	Kinase	366	0.47	0.885	2.5582e-96	0.31		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	NAA10	8260	P41227	N-alpha-acetyltransferase 10, NatA catalytic subunit	Enzyme	199	0.535	0.692	0.76179	0.31		1.0	2	0	2005.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ULK1	8408	O75385	unc-51 like autophagy activating kinase 1	Kinase	99	0.564	0.769	0.99318	0.31		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	MS4A1	931	P11836	membrane spanning 4-domains A1	Receptor	451	0.411	0.846	5.0781e-05	0.31		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SGK2	10110	Q9HBY8	serum/glucocorticoid regulated kinase 2	Kinase	13	0.78	0.192	2.1934e-12	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	RCL1	10171	Q9Y2P8	RNA terminal phosphate cyclase like 1	Enzyme	19	0.792	0.192	0.059378	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NPM3	10360	O75607	nucleophosmin/nucleoplasmin 3	Chaperone	5	0.861	0.192	0.069498	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TOMM40	10452	O96008	translocase of outer mitochondrial membrane 40	Transporter	113	0.59	0.538	0.99218	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ATP5PD	10476	O75947	ATP synthase peripheral stalk subunit d	Transporter	12	0.78	0.346	0.00045999	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	NOP56	10528	O00567	NOP56 ribonucleoprotein	Nucleic acid binding	64	0.663	0.538	0.62098	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PLK2	10769	Q9NYY3	polo like kinase 2	Kinase	97	0.575	0.808	0.9999	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	NUDT21	11051	O43809	nudix hydrolase 21	Nucleic acid binding	32	0.682	0.231	0.98576	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TAF1L	138474	Q8IZX4	TATA-box binding protein associated factor 1 like	Epigenetic regulator	9	0.839	0.154	0.96182	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	TRPM6	140803	Q9BX84	transient receptor potential cation channel subfamily M member 6	Kinase	48	0.656	0.538	2.719e-10	0.3			0	1		
Adenocarcinoma of lung (disorder)	C0152013	CSNK1E	1454	P49674	casein kinase 1 epsilon		61	0.619	0.615	0.99926	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	AHCY	191	P23526	adenosylhomocysteinase	Enzyme	107	0.582	0.692	0.035922	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	EIF2B1	1967	Q14232	eukaryotic translation initiation factor 2B subunit alpha		62	0.663	0.538	7.615e-05	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	FBL	2091	P22087	fibrillarin	Enzyme	94	0.572	0.654	0.99319	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ALB	213	P02768	albumin	Transporter	1198	0.317	0.962	0.64329	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	ACSL4	2182	O60488	acyl-CoA synthetase long chain family member 4	Enzyme	136	0.561	0.769	0.98103	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ALDOA	226	P04075	aldolase, fructose-bisphosphate A		61	0.631	0.615	0.0013228	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	CCT5	22948	P48643	chaperonin containing TCP1 subunit 5	Chaperone	50	0.663	0.462	0.99928	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RRS1	23212	Q15050	ribosome biogenesis regulator 1 homolog	Nucleic acid binding	42	0.656	0.5	0.17712	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RPL13A	23521	P40429	ribosomal protein L13a	Nucleic acid binding	12	0.769	0.231	0.83336	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PIGN	23556	O95427	phosphatidylinositol glycan anchor biosynthesis class N	Extracellular structure	173	0.558	0.615	2.29e-21	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ALOX5	240	P09917	arachidonate 5-lipoxygenase	Enzyme	342	0.447	0.885	1.2059e-06	0.3		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ALOX12B	242	O75342	arachidonate 12-lipoxygenase, 12R type	Enzyme	80	0.603	0.577	0.00075626	0.3		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	XRCC6	2547	P12956	X-ray repair cross complementing 6	Enzyme	119	0.552	0.769	0.99904	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GART	2618	P22102	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	Enzyme	48	0.631	0.615	0.00027711	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TIMM10	26519	P62072	translocase of inner mitochondrial membrane 10		3	0.89	0.077	0.0014821	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RPS6KC1	26750	Q96S38	ribosomal protein S6 kinase C1	Kinase	9	0.821	0.231	0.001257	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	EIF2AK1	27102	Q9BQI3	eukaryotic translation initiation factor 2 alpha kinase 1	Kinase	56	0.633	0.577	7.0148e-07	0.3			0	1		
Adenocarcinoma of lung (disorder)	C0152013	RPS6KA6	27330	Q9UK32	ribosomal protein S6 kinase A6	Kinase	37	0.686	0.385	0.9865	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	STK39	27347	Q9UEW8	serine/threonine kinase 39	Kinase	38	0.67	0.5	0.99916	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GNG11	2791	P61952	G protein subunit gamma 11	Enzyme modulator	12	0.76	0.231	0.54709	0.3		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	KSR2	283455	Q6VAB6	kinase suppressor of ras 2	Kinase	27	0.743	0.231	1.0	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	BZW2	28969	Q9Y6E2	basic leucine zipper and W2 domains 2	Enzyme	20	0.78	0.231	0.1048	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RANGRF	29098	Q9HD47	RAN guanine nucleotide release factor		17	0.751	0.231	2.4357e-05	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MSH6	2956	P52701	mutS homolog 6	Nucleic acid binding	296	0.462	0.731	3.6705e-05	0.3		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	GUCY2F	2986	P51841	guanylate cyclase 2F, retinal	Kinase	6	0.821	0.231	1.0552e-13	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	HSD17B10	3028	Q99714	hydroxysteroid 17-beta dehydrogenase 10	Enzyme	65	0.656	0.538	0.93604	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	HK1	3098	P19367	hexokinase 1	Kinase	161	0.542	0.731	0.91459	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HK2	3099	P52789	hexokinase 2	Kinase	152	0.515	0.769	0.0045893	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HMGB2	3148	P26583	high mobility group box 2	Nucleic acid binding	59	0.615	0.615	0.95087	0.3		1.0	2	0	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	APOA1	335	P02647	apolipoprotein A1		416	0.429	0.885	0.00054909	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	IMPDH2	3615	P12268	inosine monophosphate dehydrogenase 2	Enzyme	42	0.659	0.5	4.3635e-06	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	INSRR	3645	P14616	insulin receptor related receptor	Kinase	186	0.508	0.808	5.3976e-24	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	EIF3E	3646	P60228	eukaryotic translation initiation factor 3 subunit E	Nucleic acid binding	58	0.633	0.423	0.05196	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	IRAK1	3654	P51617	interleukin 1 receptor associated kinase 1	Kinase	200	0.506	0.808	0.98774	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	IRAK2	3656	O43187	interleukin 1 receptor associated kinase 2	Kinase	22	0.722	0.385	2.6055e-19	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	IPO5	3843	O00410	importin 5	Enzyme modulator	9	0.805	0.231	1.0	0.3		1.0	1	0	2016.0	2016.0
